--- Solution of Y=AX: 
 X576 =  17.513 
 X577 =  -0.925 
 X578 =  24.576 
 X579 = -26.697 
 X580 =  -0.953 
 X581 =  -2.087 
 X582 =  -1.937 
 X583 =  -3.016 
 X584 =  24.679 
 X585 =   1.708 
 X586 =   0.661 
 X587 =  -1.762 
 X588 =  -3.886 
 X589 = -23.983 
 X590 = -13.992 
 X591 =  11.697 
 X592 =   2.491 
 X593 =  -5.433 
 X594 =  11.802 
 X595 =   3.034 
 X596 =  15.479 
 X597 =  -7.822 
 X598 =  13.012 
 X599 =   9.664 
 X600 =   8.457 
 X601 =  -5.829 
 X602 =  -6.547 
 X603 =  -0.453 
 X604 =  -5.171 
 X605 =  13.721 
 X606 =   4.700 
 X607 =  -5.986 
 X608 =  -0.322 
 X609 =  -5.270 
 X610 =  16.489 
 X611 =   5.331 
 X612 = -11.318 
 X613 =   5.925 
 X614 =   5.183 
 X615 =  -9.451 
 X616 =   0.025 
 X617 =  -1.122 
 X618 =  13.976 
 X619 =  19.711 
 X620 =   2.810 
 X621 = -11.173 
 X622 =   0.578 
 X623 =   7.718 
 X624 =   3.474 
 X625 =  15.110 
 X626 =  -6.568 
 X627 =  12.106 
 X628 =   1.614 
 X629 =   6.341 
 X630 =   3.682 
 X631 =  -7.694 
 X632 =  14.102 
 X633 =  11.107 
 X634 = -13.927 
 X635 =   4.879 
 X636 =   4.228 
 X637 =  -1.558 
 X638 =  13.366 
 X639 =  -4.133 
 X640 =  14.169 
 X641 =  22.621 
 X642 =   5.313 
 X643 =  -7.168 
 X644 =   5.391 
 X645 =  -6.618 
 X646 =   7.717 
 X647 =  -7.569 
 X648 = -12.778 
 X649 =   3.078 
 X650 = -18.399 
 X651 = -10.406 
 X652 = -18.756 
 X653 =  -4.999 
 X654 = -16.808 
 X655 =  -2.666 
 X656 =  -9.184 
 X657 =   1.824 
 X658 =   2.246 
 X659 =   6.873 
 X660 =   3.821 
 X661 =  -0.838 
 X662 = -13.787 
 X663 =  -2.473 
 X664 =   3.450 
 X665 =  10.846 
 X666 =  -3.602 
 X667 =   1.089 
 X668 =   0.119 
 X669 =  -2.870 
 X670 =   4.840 
